Year,SiteCode_Plot,LineTransect,SiteCode_Plot_LineTransect,MetersAlongLine,AcceptedSpecies,Comment
2022,berg_B10,NS,berg_B10_NS,0L,Echium plantagineum,NA
2022,berg_B10,NS,berg_B10_NS,0R,Lolium perenne,NA
2022,berg_B10,NS,berg_B10_NS,1L,Echium plantagineum,NA
2022,berg_B10,NS,berg_B10_NS,1R,Echium plantagineum,NA
2022,berg_B10,NS,berg_B10_NS,2L,Lolium perenne,NA
2022,berg_B10,NS,berg_B10_NS,2R,Melinis repens,NA
2022,berg_B10,NS,berg_B10_NS,3L,Lolium perenne,NA
2022,berg_B10,NS,berg_B10_NS,3R,Lolium perenne,NA
2022,berg_B10,NS,berg_B10_NS,4L,Echium plantagineum,NA
2022,berg_B10,NS,berg_B10_NS,4R,Avena sativa,NA
2022,berg_B10,NS,berg_B10_NS,5L,Lolium perenne,NA
2022,berg_B10,NS,berg_B10_NS,5R,Echium plantagineum,NA
2022,berg_B10,NS,berg_B10_NS,6L,Avena sativa,NA
2022,berg_B10,NS,berg_B10_NS,6R,Lolium perenne,NA
2022,berg_B10,NS,berg_B10_NS,7L,Vicia hirsuta,NA
2022,berg_B10,NS,berg_B10_NS,7R,Melinis repens,NA
2022,berg_B10,NS,berg_B10_NS,8L,Lolium perenne,NA
2022,berg_B10,NS,berg_B10_NS,8R,Avena sativa,NA
2022,berg_B10,NS,berg_B10_NS,9L,Melinis repens,NA
2022,berg_B10,NS,berg_B10_NS,9R,Avena sativa,NA
2022,berg_B10,NS,berg_B10_NS,CL,Avena sativa,NA
2022,berg_B10,NS,berg_B10_NS,CR,Lolium perenne,NA
2022,berg_B10,WE,berg_B10_WE,0L,Echium plantagineum,NA
2022,berg_B10,WE,berg_B10_WE,0R,Dimorphotheca pluvialis,NA
2022,berg_B10,WE,berg_B10_WE,1L,Lolium perenne,NA
2022,berg_B10,WE,berg_B10_WE,1R,Lolium perenne,NA
2022,berg_B10,WE,berg_B10_WE,2L,Avena sativa,NA
2022,berg_B10,WE,berg_B10_WE,2R,Lolium perenne,NA
2022,berg_B10,WE,berg_B10_WE,3L,Melinis repens,NA
2022,berg_B10,WE,berg_B10_WE,3R,Lolium perenne,NA
2022,berg_B10,WE,berg_B10_WE,4L,Melinis repens,NA
2022,berg_B10,WE,berg_B10_WE,4R,Melinis repens,NA
2022,berg_B10,WE,berg_B10_WE,5L,Vicia hirsuta,NA
2022,berg_B10,WE,berg_B10_WE,5R,Vicia hirsuta,NA
2022,berg_B10,WE,berg_B10_WE,6L,Vicia hirsuta,NA
2022,berg_B10,WE,berg_B10_WE,6R,Lolium perenne,NA
2022,berg_B10,WE,berg_B10_WE,7L,Lolium perenne,NA
2022,berg_B10,WE,berg_B10_WE,7R,Lolium perenne,NA
2022,berg_B10,WE,berg_B10_WE,8L,Echium plantagineum,NA
2022,berg_B10,WE,berg_B10_WE,8R,Echium plantagineum,NA
2022,berg_B10,WE,berg_B10_WE,9L,Avena sativa,NA
2022,berg_B10,WE,berg_B10_WE,9R,Lolium perenne,NA
2022,berg_B11,NS,berg_B11_NS,0L,Fumaria muralis,NA
2022,berg_B11,NS,berg_B11_NS,0R,Fumaria muralis,NA
2022,berg_B11,NS,berg_B11_NS,1L,Bromus diandrus,NA
2022,berg_B11,NS,berg_B11_NS,1R,Searsia angustifolia,NA
2022,berg_B11,NS,berg_B11_NS,2L,Searsia angustifolia,NA
2022,berg_B11,NS,berg_B11_NS,2R,Ehrharta calycina,NA
2022,berg_B11,NS,berg_B11_NS,3L,Zantedeschia aethiopica,NA
2022,berg_B11,NS,berg_B11_NS,3R,Fumaria muralis,NA
2022,berg_B11,NS,berg_B11_NS,4L,Bromus diandrus,NA
2022,berg_B11,NS,berg_B11_NS,4R,Fumaria muralis,NA
2022,berg_B11,NS,berg_B11_NS,5L,Fumaria muralis,NA
2022,berg_B11,NS,berg_B11_NS,5R,Bromus diandrus,NA
2022,berg_B11,NS,berg_B11_NS,6L,Fumaria muralis,NA
2022,berg_B11,NS,berg_B11_NS,6R,Bromus diandrus,NA
2022,berg_B11,NS,berg_B11_NS,7L,Fumaria muralis,NA
2022,berg_B11,NS,berg_B11_NS,7R,Bromus diandrus,NA
2022,berg_B11,NS,berg_B11_NS,8L,Fumaria muralis,NA
2022,berg_B11,NS,berg_B11_NS,8R,Bromus diandrus,NA
2022,berg_B11,NS,berg_B11_NS,9L,Bromus diandrus,NA
2022,berg_B11,NS,berg_B11_NS,9R,Fumaria muralis,NA
2022,berg_B11,NS,berg_B11_NS,CL,Ehrharta calycina,NA
2022,berg_B11,NS,berg_B11_NS,CR,Ehrharta calycina,NA
2022,berg_B11,WE,berg_B11_WE,0L,Bromus diandrus,NA
2022,berg_B11,WE,berg_B11_WE,0R,Bromus diandrus,NA
2022,berg_B11,WE,berg_B11_WE,1L,Bromus diandrus,NA
2022,berg_B11,WE,berg_B11_WE,1R,Bromus diandrus,NA
2022,berg_B11,WE,berg_B11_WE,2L,Raphanus raphanistrum,NA
2022,berg_B11,WE,berg_B11_WE,2R,Raphanus raphanistrum,NA
2022,berg_B11,WE,berg_B11_WE,3L,Bromus diandrus,NA
