Year,SiteCode_Plot_Quadrant,AcceptedSpecies,PercentCoverAlive,PercentCoverDead,Comment
2022,berg_B29_NE,Pennisetum clandestinum,80,0,NA
2022,berg_B29_NE,Cynodon dactylon,15,0,NA
2022,berg_B29_NE,Lolium perenne,5,0,NA
2022,berg_B28_NE,Galenia africana,40,0,NA
2022,berg_B28_NE,Avena sativa,20,0,NA
2022,berg_B28_NE,Bromus diandrus,20,0,NA
2022,berg_B28_NE,Lolium perenne,5,0,NA
2022,berg_B28_NE,Hermannia disermifolia,5,0,NA
2022,berg_B27_NE,Erodium moschatum,30,0,NA
2022,berg_B27_NE,Cotula turbinata,20,0,NA
2022,berg_B27_NE,Malva parviflora,20,0,NA
2022,berg_B27_NE,Oncosiphon suffruticosus,5,0,NA
2022,berg_B26_NE,Lactuca serriola,50,0,NA
2022,berg_B26_NE,Lolium perenne,15,0,NA
2022,berg_B26_NE,Phragmites australis,5,0,NA
2022,berg_B26_NE,Carthamus lanatus,5,0,NA
2022,berg_B26_NE,Pennisetum clandestinum,10,0,NA
2022,berg_B26_NE,Erodium moschatum,5,0,NA
2022,berg_B26_NE,Oncosiphon suffruticosus,5,0,NA
2022,berg_B25_NE,Lolium perenne,10,0,Quadrant Wide Comment: rest is rock cover
2022,berg_B25_NE,Cotula coronopifolia,25,0,Quadrant Wide Comment: rest is rock cover
2022,berg_B25_NE,Acacia saligna,10,0,Quadrant Wide Comment: rest is rock cover
2022,berg_B24_NE,Oncosiphon suffruticosus,50,0,NA
2022,berg_B24_NE,Galenia africana,20,0,NA
2022,berg_B24_NE,Avena sativa,10,0,NA
2022,berg_B24_NE,Chenopodium album,5,0,NA
2022,berg_B24_NE,Carthamus lanatus,5,0,NA
2022,berg_B24_NE,Ehrharta calycina,10,0,NA
2022,berg_B23_NE,Bromus diandrus,60,0,NA
2022,berg_B23_NE,Chenopodium album,30,0,NA
2022,berg_B23_NE,Vicia sativa,10,0,NA
2022,berg_B22_NE,Galenia africana,60,0,NA
2022,berg_B22_NE,Ehrharta calycina,5,0,NA
2022,berg_B22_NE,Bromus sp.,5,0,NA
2022,berg_B22_NE,Ehrharta longiflora,5,0,NA
2022,berg_B22_NE,Oxalis pes-caprae,5,0,NA
2022,berg_B21_NE,Avena sativa,30,0,NA
2022,berg_B21_NE,Cynodon dactylon,30,0,NA
2022,berg_B21_NE,Arctotis hirsuta,20,0,NA
2022,berg_B21_NE,Lolium perenne,5,0,NA
2022,berg_B21_NE,Erodium moschatum,5,0,NA
2022,berg_B20_NE,Lolium perenne,90,0,NA
2022,berg_B20_NE,Eucalyptus camaldulensis,8,0,NA
2022,berg_B19_NE,Arctotheca calendula,20,0,Quadrant Wide Comment: 70% is bare ground
2022,berg_B19_NE,Oncosiphon suffruticosus,10,0,Quadrant Wide Comment: 70% is bare ground
2022,berg_B19_NE,Senecio elegans,5,0,Quadrant Wide Comment: 70% is bare ground
2022,berg_B19_NE,Galium spurium,5,0,Quadrant Wide Comment: 70% is bare ground
2022,berg_B18_NE,Phragmites australis,36,54,NA
2022,berg_B18_NE,Acacia mearnsii,10,0,NA
2022,berg_B17_NE,Cliffortia strobilifera,60,0,NA
2022,berg_B17_NE,Pennisetum macrourum,20,0,NA
2022,berg_B17_NE,Salix mucronata,15,0,synonym of S. capensis
2022,berg_B16_NE,Raphanus raphanistrum,70,0,NA
2022,berg_B16_NE,Lolium perenne,10,0,NA
2022,berg_B16_NE,Avena sativa,5,0,NA
2022,berg_B15_NE,Phragmites australis,5,95,NA
2022,berg_B14_NE,Echium plantagineum,50,0,NA
2022,berg_B14_NE,Erodium moschatum,5,0,NA
2022,berg_B14_NE,Avena sativa,10,0,NA
2022,berg_B14_NE,Ehrharta longiflora,10,0,NA
2022,berg_B14_NE,Lolium perenne,10,0,NA
2022,berg_B13_NE,Tropaeolum majus,60,0,NA
2022,berg_B13_NE,Xanthium strumarium,10,0,NA
2022,berg_B13_NE,Raphanus raphanistrum,20,0,NA
2022,berg_B13_NE,Lolium perenne,10,0,NA
2022,berg_B12_NE,Raphanus raphanistrum,20,0,NA
2022,berg_B12_NE,Solanum nigrum,35,0,NA
2022,berg_B12_NE,Eucalyptus camaldulensis,35,0,NA
2022,berg_B12_NE,Fumaria capreolata,5,0,NA
2022,berg_B12_NE,Tropaeolum majus,5,0,NA
2022,berg_B11_NE,Bromus diandrus,30,0,NA
2022,berg_B11_NE,Fumaria muralis,40,0,NA
2022,berg_B11_NE,Acer negundo,20,0,NA
2022,berg_B11_NE,Raphanus raphanistrum,10,0,NA
2022,berg_B10_NE,Melinis repens,35,0,NA
2022,berg_B10_NE,Avena sativa,25,0,NA
2022,berg_B10_NE,Echium plantagineum,15,0,NA
2022,berg_B10_NE,Vicia hirsuta,5,0,NA
2022,berg_B10_NE,Lolium perenne,30,0,NA
2022,berg_B9_NE,Briza maxima,40,0,NA
2022,berg_B9_NE,Stoebe plumosa,10,0,NA
2022,berg_B9_NE,Hypochaeris radicata,10,0,NA
2022,berg_B9_NE,Lupinus angustifolius,5,0,NA
2022,berg_B9_NE,Bromus diandrus,35,0,NA
2022,berg_B8_NE,Pennisetum macrourum,95,0,NA
2022,berg_B7_NE,Pennisetum macrourum,95,5,NA
2022,berg_B6_NE,Stoebe plumosa,60,0,NA
2022,berg_B6_NE,Cannomois virgata,25,0,NA
2022,berg_B6_NE,Metrosideros angustifolia,5,0,NA
2022,berg_B6_NE,Struthiola myrsinites,5,0,NA
2022,berg_B6_NE,Polytrichum commune,5,0,NA
2022,berg_B5_NE,Pennisetum clandestinum,65,0,NA
2022,berg_B5_NE,Tropaeolum majus,20,0,NA
2022,berg_B5_NE,Rubus fruticosus,15,0,NA
2022,berg_B4_NE,Cliffortia ruscifolia,20,0,NA
2022,berg_B4_NE,Passerina rigida,5,0,NA
2022,berg_B4_NE,Pteridium aquilinum,5,0,NA
2022,berg_B4_NE,Pinus pinaster,5,0,NA
2022,berg_B4_NE,Stoebe plumosa,15,0,NA
2022,berg_B4_NE,Lobostemon sp.,5,0,NA
2022,berg_B4_NE,,25,0,Unknown grass
2022,berg_B4_NE,Bromus diandrus,20,0,NA
2022,berg_B3_NE,Capeochloa cincta,20,0,Quadrant Wide Comment: Rest is Bare rock
2022,berg_B3_NE,Anthospermum aethiopicum,20,0,Quadrant Wide Comment: Rest is Bare rock
2022,berg_B2_NE,Cliffortia ruscifolia,33,0,NA
2022,berg_B2_NE,Rhodocoma sp.,33,0,NA
2022,berg_B2_NE,Capeochloa cincta,33,0,NA
2022,eerste_E4_NE,Pteridium aquilinum,60,0,NA
2022,eerste_E4_NE,Restio subverticellatus,10,0,NA
2022,eerste_E4_NE,Capeochloa cincta,5,0,.=merxmullera cincta
2022,eerste_E4_NE,Danthonia sp.,5,0,NA
