Year,Site,Rarefaction,General_Plot_Observations ,Inplot_Species_Observation,Outplot_Species_Observations,Comments
2023,B10,19,island in middle of Berg mostly grassland with shrubs growing up inbetween,"Bromus diandrus, Raphinus raphanistrum, Cynodon dactylon, Lolium perenne, Salix babylonica, Persicaria decipiens, Briza maxima, Avena fatua, Nothoscordum gracile, Polygonum aviculare, Pennisetum macrourum (Cenchrus caudatus), Paspalum dilatatum, Disvania ambrosioides, Senecio pterophorus, Xanthium strumarium, Eragrostis curvula, Populus x canescens, Plantago lanceolata, Rumex acetosella",NA,NA
2023,B11,7,Less close to river because washed out. Flood came thru,"Acer negundo, Raphanus raphanistrum, ice plant, Ehrharta",Zanthedischia aethiopica,NA
2023,B12,19,very diseased with rust | Mega lolium,"Lolium perenne, Solanum nigrum, Senecio pterophorus, Rumex crispus, Eucalyptus camaldulensis, Tropaeolum majus, Phragmites australis, Bromus cathartacus, Persicaria senegalensis, Populus alba, Polygonum aviculare, Acacia mearnsii, Raphanus raphanistrum, Xanthium strumarium, Ehrharta longiflora, Bromus diandrus, Lepidium didymum, Rumex pulcher, Ricinus communis",NA,NA
2023,B13,15,"debris filled shrub patch, has been affected by a flood","Senecio pterophorus, Pennisetum clandestinum, Solanum nigrum, Echium plantagineum, Searsia glauca, Eucalyptus camaldulensis, Ehrharta longiflora, Carduus tenuflorus, Lolium perenne, Zentedischia aethiopica, Kiggelaria africana, Helmenthotheca echioides, Rumex crispus, Bromus diandrus",NA,NA
2023,B14,19,grassland next to planted trees and water pump station. Planted species in plot,"Lobelia erinus, Ehrharta longiflora, Lolium perenne, Briza maxima, Echium plantagineum, Rumex crispus, Pennisetum clandestinum, Raphanus raphinistrum, Bromus diandrus, Lotus subbiflora, Cynodon dactylon, Erodium moschatum, Polygonum aviculare",NA,NA
2023,B15,1,Phragmites australis plot,Phragmites australis,"Raphanus raphanistrum, Ehrharta longiflora, Avena fatua, Bromus diandrus, Lolium perenne, Cynodon dactylon, Thorny acacia, Lobelia erinus, Leysera graphalodes, Silybum marianum, Echium plantagineum, Briza maxima, Aspalanthus acuminata, Lolium sp.",NA
2023,B16,10,curly dock and new grass,"Rumex crispus, Rumex cordatus, Persicaria, Lolium perenne, Raphanus raphinistrum, Verbena littoralis, Kiggelaria africana, Diospyros glabra, Wheat ???",NA,NA
2023,B17,14,plot crosses river in palmiet and rush patches,"Prionium serratum, Cyperus eragrostis, Sesbania punicea, Cliffortia strobilifa, Salix mucronata, Mentha lengiflora, Isolopsis levynsiana, Rumex crispus, Bulbinella newtans, Persiperia, Cotula coronopifolia, Veronica anagalis-aquatica, Monopsis diebelis, Xanthadeschia aethiopica,","Briza minima, Nothoscodum gracile, Cynodon dactylon, Pennisetum macrourum, Blue scarlet/phomena pumpernel, Turkey muline",NA
2023,B18,19,"Plot crossing river with A. donex, sheoak, acacia and eucalyptus","Casuarina cunninghamiana, Arundo donex, Persicaria, Briza minima, Lolium perenne, Raphanus raphinistrum, Rumex cordatus, Black mustard-like plant, Stelleria media, Ehrharta longiflora, chickweed, Humeria miralis, Cynodon dactylon, Taraxicum officinale, Red gum (Eucalyptus camaldulensis?), Lysmackia arvensis, Nightella (aquatic plant), Sesbania sp., Tough leaved plant (cape star?)",Calla lily,NA
2023,B19,14,"Few native species, by planted Eucalyptus row along river. One side sloping to river, sandy sediment | Aizoon dominated, other small species mixed in","Aizoon, Oncosiphon pelulifer, Cynodon dactylon, Lobelia, Baby rush, Agrostis type grass, Foxtail type grass (Triobolium uniolae), Red ground cover (4 leaf many seed), Dead snotblom, Bromus diandrus, Ehrharta longiflora, Eucalyptus, Lolium, Spergula arvensis",Stoebe,NA
2023,B2,42,"Protea, Cliffortia, Renosterbos",Plantago,NA,NA
2023,B20,10,"Eucalyptus grove, otherwise ground cover lolium perenne","Lolium perenne, Eucalyptus camaldulensis, Rumex cordatus, Rush, runner lanceolate, little toothes sapling, Cynodon dactylon, Calla lily, Basal lanceolate, Rumex crispus","P. australis, persicaria, palmiet",NA
2023,B21,17,dead grassland,"Salty cynodon?, Cynodon dactylon, Lolium perenne, Lebelia erinus, fuzzy swah??? plant lanceolate, Polygonum, baby rush, foxtail, lanceolate ?duntate?, Succulent trifoliate, baby olive leaf??, Citrellus aethi, Zanthium strumarium, Wild onion, Daisy, Water spinach, Dandelion, lotus (trefoil)",NA,NA
2023,B22,12,"on edge of false olive grove, native rich plot","Galenia africanum (Aizoon), Buddleja, Ehrharta calycina, Dandelion (Taraxacum officinale), Erodium moschatum, Bromus diandrus, Setaria spp., Unknown primrose, Yellow daisy with black anther, Avena fatua, Fleshy stipe plant, Dead orchid (orobanchaceae), Tree with blue fruit","Eucalyptus, Papyrus",NA
